Location,State,Country,Size,Bedrooms,Bathrooms,Age_of_Building,Amenities,Distance_to_Nearest_School,distance_to_nearest_Shopping,distance_to_nearest_Rail_Bus_Metro,Floor_Number,View,Renovated,Balcony_Area,Garage_Capacity,Property_Type,Price_$
Rosemount,Chicago,US,2394,5,2,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,5,3,Sea,Yes,357,3,Villa,311761
Palm Valley,New_York,US,1937,2,2,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,2,1,Lake,No,422,1,House,286159
Milledgeville,New_York,US,2189,1,1,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,2,1,1,Sea,Yes,360,2,House,220401
Kahului,Honolulu,US,1820,1,2,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,1,1,Country,Yes,371,3,Apartment,375471
Coralville,Chicago,US,1266,1,3,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,2,3,3,Ocean,No,261,3,Villa,219287
Gainesville,New_York,US,2104,4,5,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,1,2,Lake,Yes,465,0,Apartment,114844
Greenpoint,New_York,US,1861,4,2,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,1,1,City,No,154,0,Apartment,253693
Norwalk,New_York,US,3811,3,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,1,2,Country,No,454,1,Apartment,81803
Estelle,Chicago,US,1447,2,1,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,1,3,Sea,Yes,160,3,Apartment,456943
Bon Air,New_York,US,2255,3,5,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,5,5,2,City,No,249,2,Villa,333392
Scotch Plains,New_York,US,2720,4,2,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,1,1,Sea,No,235,2,Villa,354824
Sterling,New_York,US,1911,5,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,0,2,3,Sea,No,436,2,House,117438
Martinsburg,New_York,US,1981,3,2,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,0,3,2,Country,Yes,227,1,House,90774
Aloha,Los_Angeles,US,3034,1,2,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,2,3,City,Yes,344,3,Apartment,335595
Bothell West,Los_Angeles,US,1452,5,4,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,1,0,1,Sea,No,347,2,Villa,65119
Clermont,New_York,US,1129,4,1,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,1,1,Ocean,No,137,1,House,477636
Lower West Side,Chicago,US,2922,5,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,5,5,2,Country,Yes,381,1,Apartment,269898
Far Rockaway,New_York,US,2453,5,4,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,3,2,3,Country,No,427,0,Apartment,294986
Lutz,New_York,US,1975,1,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,2,4,2,Country,Yes,412,3,House,343294
Sterling,New_York,US,1017,5,5,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,1,3,Country,Yes,241,1,Apartment,234002
Palm Desert,Los_Angeles,US,1820,2,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,2,2,Ocean,No,301,2,House,219321
Columbia Heights,Chicago,US,3994,4,3,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,0,4,1,Lake,Yes,237,0,House,74592
Fairview Heights,Chicago,US,3307,5,2,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,2,4,2,Sea,Yes,369,0,Apartment,400030
Peabody,New_York,US,3102,5,2,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,2,4,2,Lake,Yes,181,3,Apartment,66613
Venice,New_York,US,2263,5,3,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,1,0,2,City,Yes,236,3,House,156936
Kaukauna,Chicago,US,3524,2,5,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,2,3,Sea,Yes,238,0,Apartment,225104
Kaukauna,Chicago,US,1852,4,5,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,4,1,Ocean,Yes,221,0,Apartment,57727
Brunswick,New_York,US,1105,2,5,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,5,2,Sea,Yes,214,1,Villa,426891
Shreveport,Chicago,US,2414,3,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,2,4,2,Sea,Yes,369,2,Apartment,481045
South Whittier,Los_Angeles,US,2120,2,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,5,3,2,City,Yes,215,0,Villa,69909
Huntley,Chicago,US,3707,3,3,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,0,3,1,City,No,456,3,Apartment,471025
Taunton,New_York,US,1822,5,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,1,1,Sea,Yes,424,0,Villa,280807
Evergreen Park,Chicago,US,2655,1,3,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,3,3,Lake,No,432,2,Apartment,255831
Port Huron,Detroit,US,2902,5,5,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,2,3,Country,No,156,1,Apartment,478987
Pekin,Chicago,US,3992,1,4,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,3,3,Country,No,189,1,Apartment,467249
North Lauderdale,New_York,US,2411,2,5,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,1,2,Sea,No,147,2,Villa,454170
Martinsburg,New_York,US,2813,4,1,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,3,4,3,Lake,Yes,144,1,Apartment,188649
Sunnyside,Los_Angeles,US,3976,1,2,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,4,3,City,Yes,476,3,Villa,81545
Pekin,Chicago,US,3957,5,3,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,4,1,2,Sea,Yes,364,0,Villa,109390
Waverly,Detroit,US,2404,5,4,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,4,2,Sea,No,470,1,Apartment,60759
Troutdale,Los_Angeles,US,3344,4,2,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,1,5,1,Country,No,476,2,Villa,427904
West Chester,New_York,US,3031,4,5,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,3,2,City,No,179,0,Villa,229231
Crystal Lake,Chicago,US,3008,3,4,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,1,2,Country,No,301,2,House,310184
Martinsburg,New_York,US,3592,2,1,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,5,2,2,Sea,No,181,3,Villa,110055
Glendale,Los_Angeles,US,1632,2,2,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,3,2,1,City,No,393,2,Villa,186636
Palm Desert,Los_Angeles,US,1288,2,5,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,1,2,Ocean,No,240,2,Villa,317730
Vestavia Hills,Chicago,US,1798,2,4,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,4,1,3,Country,Yes,274,1,Villa,338566
Brenham,Chicago,US,2833,2,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,5,5,3,Sea,No,291,2,House,183699
Belle Glade,New_York,US,3221,1,1,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,1,1,Lake,Yes,188,3,House,88632
Granger,Indiana,US,2179,5,4,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,2,2,Lake,Yes,432,3,Apartment,412643
Mechanicsville,New_York,US,3741,5,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,0,4,3,Country,No,424,0,Villa,203139
Visitacion Valley,Los_Angeles,US,2025,4,5,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,2,2,Country,Yes,129,0,Apartment,263046
Davis,Los_Angeles,US,3878,2,5,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,1,3,Ocean,Yes,111,0,House,465260
Bridgeport,New_York,US,3200,5,1,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,3,2,Ocean,Yes,249,0,Apartment,218421
Pekin,Chicago,US,3002,4,1,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,4,1,Lake,No,387,0,Villa,117127
Saratoga Springs,Denver,US,1620,5,5,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,1,2,Country,No,113,0,Apartment,423816
Scarsdale,New_York,US,3497,4,5,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,1,5,2,Sea,No,153,2,House,314852
Fort Washington,New_York,US,3886,3,4,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,4,2,2,Lake,No,313,0,Apartment,160229
Middle River,New_York,US,2059,3,4,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,2,3,Sea,No,221,1,Apartment,401397
Huntley,Chicago,US,3034,2,5,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,5,1,3,City,Yes,377,0,Apartment,301045
Grand Forks,Chicago,US,1841,3,4,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,2,2,Sea,Yes,116,1,Apartment,475118
Kensington,New_York,US,1815,5,3,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,2,1,Country,No,249,3,Villa,144988
South Lawndale,Chicago,US,3636,3,4,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,3,2,Country,No,191,3,House,367367
Fresno,Chicago,US,1869,2,3,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,2,5,2,Lake,Yes,156,3,House,494803
Jackson,Chicago,US,1289,5,4,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,4,3,Sea,Yes,437,1,Villa,264466
Lino Lakes,Chicago,US,2578,2,1,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,4,4,2,Lake,No,310,3,Villa,387576
Hueytown,Chicago,US,3809,3,4,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,0,4,2,City,Yes,464,0,Villa,214453
Toledo,New_York,US,3284,2,2,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,2,3,Country,No,498,1,House,354733
Searcy,Chicago,US,2867,1,1,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,1,1,Sea,No,264,0,House,189090
Chillum,New_York,US,1446,2,5,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,4,3,1,Ocean,No,340,0,Apartment,174488
East Haven,New_York,US,2527,3,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,3,3,Lake,No,273,2,House,146506
Jackson,Chicago,US,3994,4,4,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,0,5,3,City,No,344,2,Apartment,488584
Lino Lakes,Chicago,US,3960,4,3,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,2,2,City,No,208,2,House,159727
Aurora,Denver,US,1088,1,1,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,3,2,Sea,Yes,348,3,House,275389
Acworth,New_York,US,3949,2,5,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,2,1,3,City,No,294,1,House,341109
Murray,Chicago,US,2396,4,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,2,2,Sea,No,221,3,Apartment,219446
Keene,New_York,US,2647,2,2,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,3,2,Ocean,Yes,223,3,House,290579
Coralville,Chicago,US,2767,2,3,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,5,4,3,Country,No,460,2,House,192063
Claremont,Los_Angeles,US,1466,4,2,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,2,1,2,Country,Yes,307,1,Villa,119435
Vestavia Hills,Chicago,US,2119,3,2,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,4,2,City,No,213,0,House,105105
Abilene,Chicago,US,2613,5,4,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,4,2,Country,Yes,418,3,Villa,466945
Sun City Center,New_York,US,2265,1,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,4,4,1,Lake,No,211,0,Apartment,240749
West Chester,New_York,US,1445,2,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,4,3,Ocean,No,325,2,Villa,458196
Far Rockaway,New_York,US,1596,2,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,2,2,1,Country,No,335,0,House,352246
Bridgeport,New_York,US,3936,3,4,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,1,2,Ocean,Yes,494,0,Villa,215394
Lompoc,Los_Angeles,US,3535,4,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,5,3,Sea,Yes,393,3,House,425468
Lompoc,Los_Angeles,US,3841,4,3,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,5,2,Sea,Yes,146,0,House,362334
Scotch Plains,New_York,US,1517,4,2,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,5,4,1,Country,No,155,3,Apartment,389034
Coralville,Chicago,US,1146,1,3,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,1,2,Country,Yes,240,1,House,316743
Pekin,Chicago,US,1874,5,1,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,5,4,3,Country,No,364,3,Apartment,330084
Toledo,New_York,US,1160,3,2,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,3,1,City,No,193,2,House,269613
Aurora,Denver,US,1349,2,2,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,1,3,Lake,Yes,348,1,Villa,353992
Visitacion Valley,Los_Angeles,US,1314,4,5,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,0,1,2,City,Yes,499,1,Apartment,192802
Kent,Los_Angeles,US,3701,2,4,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,2,5,3,Lake,No,171,0,House,357624
Scotch Plains,New_York,US,2184,5,4,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,5,3,Country,No,194,1,Apartment,382178
Ada,Chicago,US,3399,2,2,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,2,4,2,Lake,No,175,0,Villa,450919
Ada,Chicago,US,2159,5,5,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,5,3,1,City,Yes,251,3,Apartment,222134
Fresno,Chicago,US,3972,5,2,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,2,2,1,Country,No,467,2,House,424786
Keene,New_York,US,2503,5,4,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,1,3,Ocean,No,222,1,Villa,333087
Gilbert,Phoenix,US,2264,4,4,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,5,2,1,Lake,Yes,345,2,Villa,112377
Lakewood,New_York,US,3741,2,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,4,2,Sea,No,498,2,House,333315
Coralville,Chicago,US,2449,4,5,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,1,0,3,City,No,281,0,Apartment,368378
Odessa,Chicago,US,3469,5,4,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,1,1,Ocean,Yes,231,2,House,221044
Dumont,New_York,US,1000,4,5,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,5,1,2,Ocean,Yes,180,1,House,266116
Claremont,Los_Angeles,US,1486,3,4,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,5,2,Lake,Yes,313,2,Apartment,272840
Palestine,Chicago,US,1009,2,1,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,3,2,Lake,No,105,2,House,399375
Nutley,New_York,US,1913,4,1,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,3,2,City,No,179,3,Villa,199473
Dumont,New_York,US,1793,3,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,2,1,City,Yes,129,2,Villa,332073
Hutchinson,Chicago,US,2039,1,5,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,0,0,2,City,Yes,344,2,House,391330
Glendale,Los_Angeles,US,2532,4,1,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,5,2,3,Lake,Yes,120,3,House,211587
Lower West Side,Chicago,US,2359,4,4,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,5,2,Country,Yes,142,1,Apartment,139545
Columbia Heights,Chicago,US,1620,3,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,3,3,Lake,No,128,3,House,414447
Bothell West,Los_Angeles,US,3671,5,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,5,1,Ocean,Yes,461,3,House,160944
Fitchburg,New_York,US,3788,1,3,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,5,1,3,City,No,403,2,Apartment,260605
Brunswick,New_York,US,1094,5,4,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,1,2,Sea,No,199,1,Villa,212627
Dumont,New_York,US,1850,4,5,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,0,1,2,Ocean,No,162,0,Villa,476837
Scotch Plains,New_York,US,2246,2,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,2,0,3,Country,No,183,1,Villa,389416
Tyler,Chicago,US,1671,4,1,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,5,2,City,No,404,3,House,484866
South Lawndale,Chicago,US,1887,1,5,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,4,2,2,Lake,Yes,263,0,House,304761
Nutley,New_York,US,2166,4,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,1,0,1,City,Yes,246,2,Villa,233651
Sun City Center,New_York,US,1976,2,4,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,4,1,City,Yes,209,1,House,359633
Peabody,New_York,US,2154,4,2,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,3,3,City,Yes,134,0,House,282431
Schererville,Chicago,US,3658,1,3,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,1,1,3,City,No,366,0,House,492230
Utica,New_York,US,2213,1,1,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,3,3,Sea,No,101,3,Villa,231659
Lower West Side,Chicago,US,3364,3,2,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,5,3,1,Sea,Yes,340,0,Apartment,298117
Sicklerville,New_York,US,3953,4,3,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,4,3,Ocean,Yes,149,2,Villa,341356
Scotch Plains,New_York,US,3459,5,5,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,3,3,City,No,144,1,Villa,403091
Canton,Detroit,US,2012,3,5,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,5,4,2,Sea,Yes,403,0,House,220589
Fitchburg,New_York,US,3641,2,1,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,5,1,3,City,Yes,238,0,Villa,120607
Keene,New_York,US,2774,1,1,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,3,1,Ocean,Yes,318,0,Villa,80456
Mira Mesa,Los_Angeles,US,2825,3,5,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,2,0,2,Sea,No,442,1,Villa,288489
New City,Chicago,US,3394,2,4,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,5,1,Lake,No,226,0,Villa,274593
Grand Forks,Chicago,US,3062,2,2,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,1,2,Lake,Yes,471,1,Apartment,457767
Martinsburg,New_York,US,3314,1,1,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,2,1,Lake,Yes,269,0,Apartment,216052
Waterbury,New_York,US,1047,1,2,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,0,2,1,Lake,Yes,128,1,House,148230
Massapequa,New_York,US,3549,3,5,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,4,1,Country,No,343,3,Villa,301938
Brentwood Estates,Chicago,US,3304,5,4,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,4,1,Lake,Yes,425,3,Villa,392868
Keizer,Los_Angeles,US,2634,1,2,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,2,1,Sea,No,123,3,House,322454
Newburgh,New_York,US,2072,5,1,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,2,3,City,Yes,460,3,Villa,54839
Longview,Chicago,US,2000,3,3,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,5,3,3,Country,Yes,131,1,House,459371
Kent,Los_Angeles,US,2730,5,4,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,5,4,1,Sea,No,171,3,Villa,235088
Troutdale,Los_Angeles,US,3889,2,1,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,4,3,Ocean,No,252,0,Apartment,381814
Porterville,Los_Angeles,US,2771,1,3,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,1,1,Ocean,Yes,161,1,Apartment,183649
Woodbridge,New_York,US,1197,1,3,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,3,2,Sea,No,109,3,Apartment,254091
New Canaan,New_York,US,3079,2,3,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,4,1,1,Sea,No,195,0,House,91513
Redding,Los_Angeles,US,3544,3,5,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,5,0,2,Lake,No,276,0,House,201842
Indio,Los_Angeles,US,3968,3,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,2,2,Country,No,217,3,House,123722
Greenfield,Indiana,US,2856,4,4,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,3,1,3,Lake,Yes,102,1,Villa,125357
Norwalk,New_York,US,1836,1,5,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,2,4,2,City,No,469,3,Apartment,272459
East Haven,New_York,US,2483,2,1,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,2,2,Country,Yes,428,0,Villa,173454
East Haven,New_York,US,2931,5,1,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,5,5,2,Country,Yes,345,1,House,474088
Schererville,Chicago,US,2697,5,5,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,2,2,Sea,Yes,346,3,House,410616
Claremont,Los_Angeles,US,3066,2,3,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,3,2,Lake,No,446,0,Apartment,115391
Searcy,Chicago,US,1429,5,4,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,3,4,1,Sea,Yes,366,1,Villa,228527
Davis,Los_Angeles,US,3077,4,5,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,5,1,1,City,No,264,3,Apartment,213655
Redding,Los_Angeles,US,3889,1,2,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,4,2,Lake,No,276,2,House,391369
Lino Lakes,Chicago,US,1632,5,1,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,3,3,Lake,No,290,0,Apartment,106894
Gates-North Gates,New_York,US,3673,3,2,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,4,1,Ocean,No,496,2,Apartment,165032
Lexington,New_York,US,3535,2,2,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,0,3,Country,Yes,205,0,House,458289
Hueytown,Chicago,US,1819,5,2,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,1,3,City,Yes,193,0,Apartment,248185
Hutchinson,Chicago,US,1815,1,3,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,1,2,Country,No,306,1,House,337451
Redding,Los_Angeles,US,1449,3,5,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,1,1,Sea,No,384,0,Villa,478689
Mechanicsville,New_York,US,2146,4,3,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,2,3,Lake,Yes,494,2,Villa,344844
Pekin,Chicago,US,2105,2,5,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,4,3,3,Ocean,Yes,421,3,Apartment,180115
Jackson,Chicago,US,1712,2,4,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,1,2,1,Lake,No,310,3,House,479946
West Chester,New_York,US,3255,2,3,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,0,1,3,Lake,No,407,0,Villa,189190
Sterling,New_York,US,1981,4,5,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,0,2,3,Country,No,287,0,Villa,408911
Pekin,Chicago,US,2514,2,4,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,2,2,Sea,Yes,296,2,House,357731
Belle Glade,New_York,US,1826,4,1,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,0,3,City,Yes,362,3,Villa,467930
East Haven,New_York,US,2235,1,5,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,1,2,3,Country,Yes,167,0,Apartment,352824
Kent,Los_Angeles,US,2689,5,2,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,4,3,Country,Yes,463,3,House,205390
Milledgeville,New_York,US,3752,2,2,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,1,5,3,Lake,Yes,162,0,Apartment,174367
Malden,New_York,US,1623,4,3,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,2,1,1,Ocean,No,323,3,Apartment,217343
Searcy,Chicago,US,3449,2,2,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,0,2,3,Country,Yes,226,0,Apartment,173497
Lower West Side,Chicago,US,1934,2,1,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,2,2,2,Sea,Yes,123,0,Apartment,104911
North Lauderdale,New_York,US,3175,2,5,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,3,2,Sea,Yes,331,2,Apartment,412163
Murray,Chicago,US,3871,5,1,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,3,2,Lake,No,219,3,House,382259
